"order_id","payment_sequential","payment_value"
"00010242fe8c5a6d1ba2dd792cb16214",1,72.19
"00018f77f2f0320c557190d7a144bdd3",1,259.83
"000229ec398224ef6ca0657da4fc703e",1,216.87
"00024acbcdf0a6daa1e931b038114c75",1,25.78
"00042b26cf59d7ce69dfabb4e55b4fd9",1,218.04
"00048cc3ae777c65dbb7d2a0634bc1ea",1,34.59
"00054e8431b9d7675808bcb819fb4a32",1,31.75
"000576fe39319847cbb9d288c5617fa6",1,880.75
"0005a1a1728c9d785b8e2b08b904576c",1,157.6
"0005f50442cb953dcd1d21e1fb923495",1,65.39
"00061f2a7bc09da83e415a52dc8a4af1",1,68.87
"00063b381e2406b52ad429470734ebd5",1,57.98
"0006ec9db01a64e59a68b2c340bf65a7",1,97.32
"0008288aa423d2a3f00fcb17cd7d8719",1,126.54
"0009792311464db532ff765bf7b182ae",1,127.55
"0009c9a17f916a706d71784483a5d643",1,650.34
"000aed2e25dbad2f9ddb70584c5a2ded",1,152.77
"000c3e6612759851cc3cbb4b83257986",1,112.71
"000e562887b1f2006d75e0be9558292e",1,41.11
"000e63d38ae8c00bbcb5a30573b99628",1,56.78
"000e906b789b55f64edcb1f84030f90d",1,33.84
"000f25f4d72195062c040b12dce9a18a",1,164.39
"001021efaa8636c29475e7734483457d",1,64.1
"0010b2e5201cc5f1ae7e9c6cc8f5bd00",1,65.5
"00119ff934e539cf26f92b9ef0cdfed8",1,236.88
"0011d82c4b53e22e84023405fb467e57",1,315.33
"00125cb692d04887809806618a2a145f",1,135.41
"00130c0eee84a3d909e75bc08c5c3ca1",1,35.84
"0013503b13da1eac686219390b7d641b",1,137.22
"00137e170939bba5a3134e2386413108",1,421.65
"001427c0ec99cf8af737bd88e92fd444",1,83.25
"0014ae671de39511f7575066200733b7",1,30.6
"0015ebb40fb17286bea51d4607c4733c",1,37.0
"00169e31ef4b29deaae414f9a5e95929",1,55.11
"0016dfedd97fc2950e388d2971d718c7",1,52.63
"0016dfedd97fc2950e388d2971d718c7",2,17.92
"0017afd5076e074a48f1f1a4c7bac9c5",1,853.39
"001862358bf858722e1e2ae000cfed8b",1,113.71
"0019c29108428acffd089c36103c9440",1,79.85
"001ab0a7578dd66cd4b0a71f5b6e1e41",1,127.56
"001ac194d4a326a6fa99b581e9a3d963",1,62.54
"001b76dd48a5b1eee3e87778daa40df8",1,95.0
"001c85b5f68d2be0cb0797afc9e8ce9a",1,112.71
"001d8f0e34a38c37f7dba2a37d4eba8b",1,53.54
"001dbc16dc51075e987543d23a0507c7",1,87.9
"001e7ba991be1b19605ca0316e7130f9",1,213.21
"001e7cf2ad6bef3ade12ebc56ceaf0f3",1,51.1
"0020262c8a370bd5a174ea6a2a267321",1,100.55
"0020a222f55eb79a372d0efee3cca688",1,45.09
"002175704e8b209f61b9ad5cfd92b60e",1,123.11
"00229e4e43f7a7e0b9dd819ad43268d3",1,91.39
"0025081dcf9330f9a5052ae82c6ce396",1,33.18
"00254baeb6c932b0a8aeead91fbd02b5",1,193.01
"00259a44fcad3fc0474329e925d14fc3",1,34.09
"0025c5d1a8ca53a240ec2634bb4492ea",1,419.39
"002611a77fe03d076285fd4ca95db77c",1,156.75
"002691433f09002ac9ca0c4e8dbb8ead",1,120.43
"0026a368634b6e6f34f33b1499773a30",1,164.8
"00275bce676303c3bfd7292aefdfa223",1,293.36
"00276d5c3491fbf55305e26891040df9",1,68.12
"002834535f7a609a5c68266f173fa59e",1,57.17
"0028de0ca693a1bb26448916a81105cc",1,45.3
"002955b0acc63d04f6724a31967e82bd",1,135.59
"0029c5db35ef291ce99d1262012e7daa",1,514.37
"0029f17cf0e7640c5cb6825af681303f",1,113.44
"002af7fa9eb99d1456bceb6a13d6fc0b",1,109.45
"002b430ff89b3a24c31a1170acbbedea",1,265.55
"002b4e6fa42cd4a22cc86abc18fe9c05",1,119.57
"002c9def9c9b951b1bec6d50753c9891",1,173.8
"002d040018d12a3853c059f7f23ab5b1",1,169.84
"002f16b7bc4530031b7d90f791b12d8a",1,284.13
"002f19a65a2ddd70a090297872e6d64e",1,44.11
"002f19a65a2ddd70a090297872e6d64e",2,33.18
"002f98c0f7efd42638ed6100ca699b42",1,93.62
"0030d783f979fbc5981e75613b057344",1,78.27
